Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | T: 512 | dt: 1514ms | tok/sec: 346,393 | mfu: 8.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854656 | lrm: 1.00 | T: 512 | dt: 287ms | tok/sec: 1,826,246 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442198 | lrm: 1.00 | T: 512 | dt: 287ms | tok/sec: 1,825,100 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971442 | lrm: 1.00 | T: 512 | dt: 362ms | tok/sec: 1,446,718 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578557 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,777,382 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248419 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,738,087 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997318 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,761,378 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.785847 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,732,959 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.605350 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,774,142 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.452738 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,802,677 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.322219 | lrm: 1.00 | T: 512 | dt: 301ms | tok/sec: 1,744,669 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.212732 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,786,301 | mfu: 43.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.115216 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,786,628 | mfu: 43.2% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.028308 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,757,308 | mfu: 42.5% | epoch: 1 | remaining: 299s    
step 00031 (2.0%) | loss: 5.191218 | lrm: 1.00 | T: 512 | dt: 300ms | tok/sec: 1,747,790 | mfu: 42.2% | epoch: 1 | remaining: 294s    
step 00032 (2.1%) | loss: 5.159049 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,785,897 | mfu: 43.2% | epoch: 1 | remaining: 293s    
step 00033 (2.2%) | loss: 5.128501 | lrm: 1.00 | T: 512 | dt: 297ms | tok/sec: 1,764,897 | mfu: 42.6% | epoch: 1 | remaining: 293s    
step 00034 (2.3%) | loss: 5.092151 | lrm: 1.00 | T: 512 | dt: 301ms | tok/sec: 1,739,466 | mfu: 42.0% | epoch: 1 | remaining: 293s    
step 00035 (2.4%) | loss: 5.060302 | lrm: 1.00 | T: 512 | dt: 316ms | tok/sec: 1,661,626 | mfu: 40.1% | epoch: 1 | remaining: 293s    
step 00036 (2.5%) | loss: 5.029063 | lrm: 1.00 | T: 512 | dt: 289ms | tok/sec: 1,816,826 | mfu: 43.9% | epoch: 1 | remaining: 292s    
step 00037 (2.6%) | loss: 4.998830 | lrm: 1.00 | T: 512 | dt: 318ms | tok/sec: 1,648,592 | mfu: 39.8% | epoch: 1 | remaining: 292s    
step 00038 (2.7%) | loss: 4.968362 | lrm: 1.00 | T: 512 | dt: 340ms | tok/sec: 1,541,090 | mfu: 37.2% | epoch: 1 | remaining: 292s    
step 00039 (2.8%) | loss: 4.938682 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,737,922 | mfu: 42.0% | epoch: 1 | remaining: 291s    
step 00040 (2.9%) | loss: 4.907408 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,729,381 | mfu: 41.8% | epoch: 1 | remaining: 291s    
step 00041 (3.0%) | loss: 4.878205 | lrm: 1.00 | T: 512 | dt: 317ms | tok/sec: 1,655,212 | mfu: 40.0% | epoch: 1 | remaining: 291s    
step 00042 (3.1%) | loss: 4.850575 | lrm: 1.00 | T: 512 | dt: 341ms | tok/sec: 1,538,378 | mfu: 37.2% | epoch: 1 | remaining: 290s    
step 00043 (3.2%) | loss: 4.822031 | lrm: 1.00 | T: 512 | dt: 342ms | tok/sec: 1,533,810 | mfu: 37.1% | epoch: 1 | remaining: 290s    
step 00044 (3.3%) | loss: 4.793648 | lrm: 1.00 | T: 512 | dt: 371ms | tok/sec: 1,413,001 | mfu: 34.1% | epoch: 1 | remaining: 290s    
step 00045 (3.5%) | loss: 4.765987 | lrm: 1.00 | T: 512 | dt: 343ms | tok/sec: 1,528,433 | mfu: 36.9% | epoch: 1 | remaining: 289s    
step 00046 (3.6%) | loss: 4.737076 | lrm: 1.00 | T: 512 | dt: 308ms | tok/sec: 1,699,634 | mfu: 41.1% | epoch: 1 | remaining: 289s    
step 00047 (3.7%) | loss: 4.700558 | lrm: 1.00 | T: 512 | dt: 336ms | tok/sec: 1,561,244 | mfu: 37.7% | epoch: 1 | remaining: 289s    
step 00048 (3.8%) | loss: 4.677549 | lrm: 1.00 | T: 512 | dt: 354ms | tok/sec: 1,482,248 | mfu: 35.8% | epoch: 1 | remaining: 288s    
step 00049 (3.9%) | loss: 4.648662 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,760,779 | mfu: 42.5% | epoch: 1 | remaining: 288s    
step 00050 (4.0%) | loss: 4.618959 | lrm: 1.00 | T: 512 | dt: 388ms | tok/sec: 1,350,435 | mfu: 32.6% | epoch: 1 | remaining: 288s    
step 00051 (4.1%) | loss: 4.593522 | lrm: 1.00 | T: 512 | dt: 368ms | tok/sec: 1,423,294 | mfu: 34.4% | epoch: 1 | remaining: 287s    
step 00052 (4.3%) | loss: 4.565734 | lrm: 1.00 | T: 512 | dt: 332ms | tok/sec: 1,579,926 | mfu: 38.2% | epoch: 1 | remaining: 287s    
step 00053 (4.4%) | loss: 4.539698 | lrm: 1.00 | T: 512 | dt: 324ms | tok/sec: 1,617,565 | mfu: 39.1% | epoch: 1 | remaining: 287s    
step 00054 (4.5%) | loss: 4.513417 | lrm: 1.00 | T: 512 | dt: 312ms | tok/sec: 1,681,981 | mfu: 40.6% | epoch: 1 | remaining: 286s    
step 00055 (4.6%) | loss: 4.488726 | lrm: 1.00 | T: 512 | dt: 323ms | tok/sec: 1,625,269 | mfu: 39.3% | epoch: 1 | remaining: 286s    
step 00056 (4.7%) | loss: 4.468065 | lrm: 1.00 | T: 512 | dt: 314ms | tok/sec: 1,670,323 | mfu: 40.4% | epoch: 1 | remaining: 286s    
step 00057 (4.8%) | loss: 4.445892 | lrm: 1.00 | T: 512 | dt: 310ms | tok/sec: 1,691,413 | mfu: 40.9% | epoch: 1 | remaining: 285s    
step 00058 (4.9%) | loss: 4.420589 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,768,486 | mfu: 42.7% | epoch: 1 | remaining: 285s    
step 00059 (5.0%) | loss: 4.401987 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,771,911 | mfu: 42.8% | epoch: 1 | remaining: 285s    
step 00060 (5.1%) | loss: 4.380740 | lrm: 1.00 | T: 512 | dt: 300ms | tok/sec: 1,748,366 | mfu: 42.2% | epoch: 1 | remaining: 284s    
step 00061 (5.2%) | loss: 4.355826 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,768,791 | mfu: 42.7% | epoch: 1 | remaining: 284s    
step 00062 (5.3%) | loss: 4.337249 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,786,323 | mfu: 43.2% | epoch: 1 | remaining: 284s    
step 00063 (5.4%) | loss: 4.316118 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,761,841 | mfu: 42.6% | epoch: 1 | remaining: 284s    
step 00064 (5.5%) | loss: 4.295971 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,761,543 | mfu: 42.6% | epoch: 1 | remaining: 283s    
step 00065 (5.6%) | loss: 4.271361 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,783,499 | mfu: 43.1% | epoch: 1 | remaining: 283s    
step 00066 (5.7%) | loss: 4.251475 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,774,953 | mfu: 42.9% | epoch: 1 | remaining: 283s    
step 00067 (5.8%) | loss: 4.232931 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,771,084 | mfu: 42.8% | epoch: 1 | remaining: 282s    
step 00068 (5.9%) | loss: 4.216283 | lrm: 1.00 | T: 512 | dt: 306ms | tok/sec: 1,713,848 | mfu: 41.4% | epoch: 1 | remaining: 282s    
step 00069 (6.0%) | loss: 4.198924 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,798,518 | mfu: 43.5% | epoch: 1 | remaining: 282s    
step 00070 (6.1%) | loss: 4.181895 | lrm: 1.00 | T: 512 | dt: 333ms | tok/sec: 1,572,314 | mfu: 38.0% | epoch: 1 | remaining: 281s    
step 00071 (6.2%) | loss: 4.169901 | lrm: 1.00 | T: 512 | dt: 322ms | tok/sec: 1,630,327 | mfu: 39.4% | epoch: 1 | remaining: 281s    
step 00072 (6.3%) | loss: 4.150127 | lrm: 1.00 | T: 512 | dt: 318ms | tok/sec: 1,646,987 | mfu: 39.8% | epoch: 1 | remaining: 281s    
step 00073 (6.4%) | loss: 4.127419 | lrm: 1.00 | T: 512 | dt: 309ms | tok/sec: 1,694,746 | mfu: 40.9% | epoch: 1 | remaining: 280s    
step 00074 (6.5%) | loss: 4.106401 | lrm: 1.00 | T: 512 | dt: 314ms | tok/sec: 1,672,164 | mfu: 40.4% | epoch: 1 | remaining: 280s    
step 00075 (6.6%) | loss: 4.091862 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,780,943 | mfu: 43.0% | epoch: 1 | remaining: 280s    
step 00076 (6.7%) | loss: 4.076102 | lrm: 1.00 | T: 512 | dt: 372ms | tok/sec: 1,408,456 | mfu: 34.0% | epoch: 1 | remaining: 279s    
step 00077 (6.8%) | loss: 4.064546 | lrm: 1.00 | T: 512 | dt: 304ms | tok/sec: 1,726,388 | mfu: 41.7% | epoch: 1 | remaining: 279s    
step 00078 (6.9%) | loss: 4.046377 | lrm: 1.00 | T: 512 | dt: 324ms | tok/sec: 1,616,579 | mfu: 39.1% | epoch: 1 | remaining: 279s    
step 00079 (7.1%) | loss: 4.031926 | lrm: 1.00 | T: 512 | dt: 330ms | tok/sec: 1,589,348 | mfu: 38.4% | epoch: 1 | remaining: 279s    
step 00080 (7.2%) | loss: 4.015632 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,792,035 | mfu: 43.3% | epoch: 1 | remaining: 278s    
step 00081 (7.3%) | loss: 3.999879 | lrm: 1.00 | T: 512 | dt: 349ms | tok/sec: 1,501,418 | mfu: 36.3% | epoch: 1 | remaining: 278s    
step 00082 (7.4%) | loss: 3.986393 | lrm: 1.00 | T: 512 | dt: 318ms | tok/sec: 1,647,028 | mfu: 39.8% | epoch: 1 | remaining: 278s    
step 00083 (7.5%) | loss: 3.971362 | lrm: 1.00 | T: 512 | dt: 289ms | tok/sec: 1,814,733 | mfu: 43.8% | epoch: 1 | remaining: 277s    
step 00084 (7.6%) | loss: 3.958854 | lrm: 1.00 | T: 512 | dt: 329ms | tok/sec: 1,594,511 | mfu: 38.5% | epoch: 1 | remaining: 277s    
step 00085 (7.7%) | loss: 3.951186 | lrm: 1.00 | T: 512 | dt: 357ms | tok/sec: 1,467,176 | mfu: 35.4% | epoch: 1 | remaining: 277s    
step 00086 (7.8%) | loss: 3.939248 | lrm: 1.00 | T: 512 | dt: 337ms | tok/sec: 1,555,063 | mfu: 37.6% | epoch: 1 | remaining: 276s    
step 00087 (7.9%) | loss: 3.927653 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,730,388 | mfu: 41.8% | epoch: 1 | remaining: 276s    
step 00088 (8.0%) | loss: 3.911995 | lrm: 1.00 | T: 512 | dt: 351ms | tok/sec: 1,495,248 | mfu: 36.1% | epoch: 1 | remaining: 276s    
step 00089 (8.1%) | loss: 3.898311 | lrm: 1.00 | T: 512 | dt: 340ms | tok/sec: 1,540,177 | mfu: 37.2% | epoch: 1 | remaining: 275s    
step 00090 (8.3%) | loss: 3.890501 | lrm: 1.00 | T: 512 | dt: 343ms | tok/sec: 1,528,703 | mfu: 36.9% | epoch: 1 | remaining: 275s    
step 00091 (8.4%) | loss: 3.879133 | lrm: 1.00 | T: 512 | dt: 399ms | tok/sec: 1,313,050 | mfu: 31.7% | epoch: 1 | remaining: 275s    
step 00092 (8.5%) | loss: 3.865297 | lrm: 1.00 | T: 512 | dt: 337ms | tok/sec: 1,557,079 | mfu: 37.6% | epoch: 1 | remaining: 274s    
step 00093 (8.6%) | loss: 3.858111 | lrm: 1.00 | T: 512 | dt: 322ms | tok/sec: 1,627,018 | mfu: 39.3% | epoch: 1 | remaining: 274s    
step 00094 (8.7%) | loss: 3.848539 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,771,220 | mfu: 42.8% | epoch: 1 | remaining: 274s    
step 00095 (8.8%) | loss: 3.840892 | lrm: 1.00 | T: 512 | dt: 297ms | tok/sec: 1,762,899 | mfu: 42.6% | epoch: 1 | remaining: 273s    
step 00096 (8.9%) | loss: 3.836619 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,758,527 | mfu: 42.5% | epoch: 1 | remaining: 273s    
step 00097 (9.0%) | loss: 3.826823 | lrm: 1.00 | T: 512 | dt: 377ms | tok/sec: 1,392,182 | mfu: 33.6% | epoch: 1 | remaining: 273s    
step 00098 (9.1%) | loss: 3.821431 | lrm: 1.00 | T: 512 | dt: 318ms | tok/sec: 1,650,052 | mfu: 39.9% | epoch: 1 | remaining: 272s    
step 00099 (9.2%) | loss: 3.814711 | lrm: 1.00 | T: 512 | dt: 306ms | tok/sec: 1,712,871 | mfu: 41.4% | epoch: 1 | remaining: 272s    
step 00100 (9.4%) | loss: 3.807196 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,777,292 | mfu: 42.9% | epoch: 1 | remaining: 272s    
step 00101 (9.4%) | loss: 3.795890 | lrm: 1.00 | T: 512 | dt: 300ms | tok/sec: 1,748,818 | mfu: 42.3% | epoch: 1 | remaining: 271s    
step 00102 (9.5%) | loss: 3.787552 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,776,216 | mfu: 42.9% | epoch: 1 | remaining: 271s    
step 00103 (9.6%) | loss: 3.781437 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,796,501 | mfu: 43.4% | epoch: 1 | remaining: 271s    
step 00104 (9.7%) | loss: 3.765989 | lrm: 1.00 | T: 512 | dt: 320ms | tok/sec: 1,638,358 | mfu: 39.6% | epoch: 1 | remaining: 270s    
step 00105 (9.9%) | loss: 3.760467 | lrm: 1.00 | T: 512 | dt: 320ms | tok/sec: 1,639,719 | mfu: 39.6% | epoch: 1 | remaining: 270s    
step 00106 (10.0%) | loss: 3.755309 | lrm: 1.00 | T: 512 | dt: 316ms | tok/sec: 1,656,670 | mfu: 40.0% | epoch: 1 | remaining: 270s    
step 00107 (10.1%) | loss: 3.747166 | lrm: 1.00 | T: 512 | dt: 361ms | tok/sec: 1,451,238 | mfu: 35.1% | epoch: 1 | remaining: 269s    
step 00108 (10.2%) | loss: 3.742676 | lrm: 1.00 | T: 512 | dt: 341ms | tok/sec: 1,536,856 | mfu: 37.1% | epoch: 1 | remaining: 269s    
step 00109 (10.3%) | loss: 3.731588 | lrm: 1.00 | T: 512 | dt: 372ms | tok/sec: 1,409,214 | mfu: 34.0% | epoch: 1 | remaining: 269s    
step 00110 (10.4%) | loss: 3.726197 | lrm: 1.00 | T: 512 | dt: 311ms | tok/sec: 1,686,265 | mfu: 40.7% | epoch: 1 | remaining: 268s    
step 00111 (10.5%) | loss: 3.723071 | lrm: 1.00 | T: 512 | dt: 300ms | tok/sec: 1,745,465 | mfu: 42.2% | epoch: 1 | remaining: 268s    
step 00112 (10.6%) | loss: 3.718414 | lrm: 1.00 | T: 512 | dt: 324ms | tok/sec: 1,619,452 | mfu: 39.1% | epoch: 1 | remaining: 268s    
step 00113 (10.7%) | loss: 3.710570 | lrm: 1.00 | T: 512 | dt: 313ms | tok/sec: 1,673,508 | mfu: 40.4% | epoch: 1 | remaining: 267s    
step 00114 (10.8%) | loss: 3.701882 | lrm: 1.00 | T: 512 | dt: 316ms | tok/sec: 1,657,708 | mfu: 40.1% | epoch: 1 | remaining: 267s    
step 00115 (10.9%) | loss: 3.699183 | lrm: 1.00 | T: 512 | dt: 304ms | tok/sec: 1,726,606 | mfu: 41.7% | epoch: 1 | remaining: 267s    
step 00116 (11.0%) | loss: 3.693480 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,759,594 | mfu: 42.5% | epoch: 1 | remaining: 267s    
step 00117 (11.1%) | loss: 3.691405 | lrm: 1.00 | T: 512 | dt: 440ms | tok/sec: 1,192,358 | mfu: 28.8% | epoch: 1 | remaining: 266s    
step 00118 (11.3%) | loss: 3.688653 | lrm: 1.00 | T: 512 | dt: 311ms | tok/sec: 1,685,414 | mfu: 40.7% | epoch: 1 | remaining: 266s    
step 00119 (11.4%) | loss: 3.683625 | lrm: 1.00 | T: 512 | dt: 309ms | tok/sec: 1,695,718 | mfu: 41.0% | epoch: 1 | remaining: 266s    
step 00120 (11.5%) | loss: 3.679728 | lrm: 1.00 | T: 512 | dt: 312ms | tok/sec: 1,677,937 | mfu: 40.5% | epoch: 1 | remaining: 265s    
step 00121 (11.6%) | loss: 3.672870 | lrm: 1.00 | T: 512 | dt: 297ms | tok/sec: 1,765,551 | mfu: 42.7% | epoch: 1 | remaining: 265s    
step 00122 (11.7%) | loss: 3.663042 | lrm: 1.00 | T: 512 | dt: 320ms | tok/sec: 1,637,464 | mfu: 39.6% | epoch: 1 | remaining: 265s    
step 00123 (11.8%) | loss: 3.658873 | lrm: 1.00 | T: 512 | dt: 336ms | tok/sec: 1,558,210 | mfu: 37.6% | epoch: 1 | remaining: 264s    
step 00124 (11.9%) | loss: 3.658445 | lrm: 1.00 | T: 512 | dt: 333ms | tok/sec: 1,575,316 | mfu: 38.1% | epoch: 1 | remaining: 264s    
step 00125 (12.0%) | loss: 3.655594 | lrm: 1.00 | T: 512 | dt: 319ms | tok/sec: 1,643,559 | mfu: 39.7% | epoch: 1 | remaining: 264s    
step 00126 (12.1%) | loss: 3.649806 | lrm: 1.00 | T: 512 | dt: 312ms | tok/sec: 1,679,428 | mfu: 40.6% | epoch: 1 | remaining: 263s    
step 00127 (12.2%) | loss: 3.650274 | lrm: 1.00 | T: 512 | dt: 310ms | tok/sec: 1,688,882 | mfu: 40.8% | epoch: 1 | remaining: 263s    
step 00128 (12.3%) | loss: 3.644740 | lrm: 1.00 | T: 512 | dt: 323ms | tok/sec: 1,621,259 | mfu: 39.2% | epoch: 1 | remaining: 263s    
step 00129 (12.5%) | loss: 3.638513 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,804,460 | mfu: 43.6% | epoch: 1 | remaining: 262s    
step 00130 (12.5%) | loss: 3.634143 | lrm: 1.00 | T: 512 | dt: 297ms | tok/sec: 1,764,287 | mfu: 42.6% | epoch: 1 | remaining: 262s    
step 00131 (12.6%) | loss: 3.628660 | lrm: 1.00 | T: 512 | dt: 300ms | tok/sec: 1,747,118 | mfu: 42.2% | epoch: 1 | remaining: 262s    
step 00132 (12.7%) | loss: 3.623005 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,787,332 | mfu: 43.2% | epoch: 1 | remaining: 261s    
step 00133 (12.8%) | loss: 3.618045 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,796,385 | mfu: 43.4% | epoch: 1 | remaining: 261s    
step 00134 (12.9%) | loss: 3.612835 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,729,633 | mfu: 41.8% | epoch: 1 | remaining: 261s    
step 00135 (13.0%) | loss: 3.611535 | lrm: 1.00 | T: 512 | dt: 336ms | tok/sec: 1,560,240 | mfu: 37.7% | epoch: 1 | remaining: 261s    
step 00136 (13.2%) | loss: 3.603677 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,758,726 | mfu: 42.5% | epoch: 1 | remaining: 260s    
step 00137 (13.3%) | loss: 3.600216 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,757,315 | mfu: 42.5% | epoch: 1 | remaining: 260s    
step 00138 (13.4%) | loss: 3.591814 | lrm: 1.00 | T: 512 | dt: 423ms | tok/sec: 1,239,140 | mfu: 29.9% | epoch: 1 | remaining: 260s    
step 00139 (13.5%) | loss: 3.584103 | lrm: 1.00 | T: 512 | dt: 359ms | tok/sec: 1,460,257 | mfu: 35.3% | epoch: 1 | remaining: 259s    
step 00140 (13.6%) | loss: 3.580507 | lrm: 1.00 | T: 512 | dt: 325ms | tok/sec: 1,615,366 | mfu: 39.0% | epoch: 1 | remaining: 259s    
